PerCode,DwCode,Year,Estimate,SE,LowerCIB,UpperCIB
P003,D007A,2019,81.5,7.4,74.1,88.9
P003,D007B,2019,23.3,1.7,21.6,24.9
P003,D008A,2019,40.6,4.6,36,45.2
P003,D008B,2019,11.6,1.3,10.2,12.9
P004,D001A,2019,136.5,7.2,129.2,143.7
P004,D001B,2019,12.2,0.6,11.5,12.8
P004,D002A,2019,167.8,9.6,158.2,177.4
P004,D002B,2019,26.5,1.3,25.2,27.8
P004,D003A,2019,304.3,10.3,294,314.5
P004,D003B,2019,17.3,0.6,16.8,17.9
P004,D004A,2019,121.2,6.9,114.3,128.1
P004,D004B,2019,34.6,1.7,32.9,36.2
P004,D005A,2019,91.7,6.4,85.2,98.1
P004,D005B,2019,26.1,1.7,24.4,27.7
P004,D006A,2019,51.8,5,46.9,56.8
P004,D006B,2019,14.7,1.3,13.4,16
P004,D007A,2019,28,4.3,23.7,32.3
P004,D007B,2019,8,1.2,6.8,9.2
P004,D008A,2019,11.5,2.4,9.1,14
P004,D008B,2019,3.3,0.7,2.6,4
P001,D001A,2020,814.3,16.7,797.7,831
P001,D001B,2020,69.3,1.1,68.1,70.4
P001,D002A,2020,281.6,13,268.6,294.6
P001,D002B,2020,43,1.7,41.3,44.7
P001,D003A,2020,1097.2,17.6,1079.6,1114.8
P001,D003B,2020,59.9,1,58.9,60.9
P001,D004A,2020,197.8,8.6,189.2,206.3
P001,D004B,2020,54,2,52,56
P001,D005A,2020,196.3,9.6,186.7,205.9
P001,D005B,2020,53.6,2.1,51.5,55.7
P001,D006A,2020,186.7,9.9,176.8,196.6
P001,D006B,2020,51,2.6,48.3,53.6
P001,D007A,2020,223.3,10,213.2,233.3
P001,D007B,2020,61,1.8,59.1,62.8
P001,D008A,2020,293.2,10.6,282.6,303.9
P001,D008B,2020,79.9,1.7,78.2,81.7
P002,D001A,2020,361.4,14.8,346.6,376.1
P002,D001B,2020,30.7,1.1,29.6,31.9
P002,D002A,2020,373.3,14.7,358.6,388
P002,D002B,2020,57,1.7,55.3,58.7
P002,D003A,2020,734.7,17.6,717.1,752.2
P002,D003B,2020,40.1,1,39.1,41.1
P002,D004A,2020,168.5,9.5,159,178
P002,D004B,2020,46,2,44,48
P002,D005A,2020,170.2,10.1,160,180.3
P002,D005B,2020,46.4,2.1,44.3,48.5
P002,D006A,2020,179.4,13.2,166.2,192.6
P002,D006B,2020,49,2.6,46.4,51.7
P002,D007A,2020,143,8.8,134.2,151.9
P002,D007B,2020,39,1.8,37.2,40.9
P002,D008A,2020,73.5,6.8,66.8,80.3
P002,D008B,2020,20.1,1.7,18.3,21.8
P003,D001A,2020,268.4,13,255.3,281.4
P003,D001B,2020,22.8,1.1,21.7,23.9
P003,D002A,2020,294.9,13.9,281,308.8
P003,D002B,2020,45,1.7,43.3,46.7
P003,D003A,2020,563.3,17,546.3,580.3
P003,D003B,2020,30.7,0.9,29.8,31.7
P003,D004A,2020,147.2,8.8,138.4,156
P003,D004B,2020,40.2,1.9,38.3,42.1
P003,D005A,2020,151.4,9.3,142.1,160.7
P003,D005B,2020,41.3,2,39.3,43.4
P003,D006A,2020,135.7,11.6,124.1,147.3
P003,D006B,2020,37.1,2.5,34.6,39.6
P003,D007A,2020,88.2,7.2,81,95.4
P003,D007B,2020,24.1,1.6,22.4,25.7
P003,D008A,2020,40.8,5,35.8,45.7
P003,D008B,2020,11.1,1.3,9.8,12.5
P004,D001A,2020,136.4,9.3,127.1,145.7
P004,D001B,2020,11.6,0.8,10.8,12.4
P004,D002A,2020,180.3,11,169.3,191.3
P004,D002B,2020,27.5,1.5,26.1,29
P004,D003A,2020,316.7,13.4,303.3,330
P004,D003B,2020,17.3,0.7,16.6,18
P004,D004A,2020,117,7.8,109.1,124.8
P004,D004B,2020,31.9,1.8,30.1,33.7
P004,D005A,2020,100.4,7.5,92.9,107.9
P004,D005B,2020,27.4,1.9,25.5,29.3
P004,D006A,2020,62.2,6.8,55.3,69
P004,D006B,2020,17,1.7,15.3,18.7
P004,D007A,2020,25.7,4.5,21.2,30.2
P004,D007B,2020,7,1.2,5.8,8.3
P004,D008A,2020,11.5,2.8,8.7,14.3
P004,D008B,2020,3.1,0.8,2.4,3.9
P001,D001A,2021,850.4,17.2,833.1,867.6
P001,D001B,2021,69.6,1.3,68.3,70.9
P001,D002A,2021,281.1,13.4,267.8,294.5
P001,D002B,2021,43.9,1.8,42.1,45.7
P001,D003A,2021,1133.5,22.6,1110.9,1156.1
P001,D003B,2021,60.8,1.2,59.6,62
P001,D004A,2021,205.5,9.7,195.9,215.2
P001,D004B,2021,55.2,2.1,53,57.3
P001,D005A,2021,191.9,10.4,181.5,202.3
P001,D005B,2021,51.4,2.1,49.3,53.5
P001,D006A,2021,198.6,12.1,186.5,210.7
P001,D006B,2021,53.3,2.3,51,55.5
P001,D007A,2021,240.5,12.1,228.4,252.6
P001,D007B,2021,64.5,2.7,61.8,67.2
P001,D008A,2021,297,12,285,309
P001,D008B,2021,79.6,1.9,77.7,81.5
P002,D001A,2021,370.8,17.3,353.5,388.2
P002,D001B,2021,30.4,1.3,29.1,31.7
P002,D002A,2021,359.4,14.4,345.1,373.8
P002,D002B,2021,56.1,1.8,54.3,57.9
P002,D003A,2021,730.8,22.6,708.2,753.4
P002,D003B,2021,39.2,1.2,38,40.4
P002,D004A,2021,167,10.4,156.5,177.4
P002,D004B,2021,44.8,2.1,42.7,47
P002,D005A,2021,181.6,9.8,171.8,191.3
P002,D005B,2021,48.6,2.1,46.5,50.7
P002,D006A,2021,174.1,9.4,164.8,183.5
P002,D006B,2021,46.7,2.3,44.5,49
P002,D007A,2021,132.1,12.2,119.8,144.3
P002,D007B,2021,35.5,2.7,32.8,38.2
P002,D008A,2021,76.1,7.1,69,83.2
P002,D008B,2021,20.4,1.9,18.5,22.3
P003,D001A,2021,273.4,15.5,257.9,288.9
P003,D001B,2021,22.4,1.2,21.2,23.6
P003,D002A,2021,286.6,12.2,274.3,298.8
P003,D002B,2021,44.7,1.6,43.2,46.3
P003,D003A,2021,560.5,19.6,540.9,580.1
P003,D003B,2021,30.1,1.1,29,31.1
P003,D004A,2021,144.1,10,134.2,154.1
P003,D004B,2021,38.7,2.2,36.4,40.9
P003,D005A,2021,160.9,8.9,152.1,169.8
P003,D005B,2021,43.1,2,41.1,45.1
P003,D006A,2021,130.1,8.7,121.3,138.8
P003,D006B,2021,34.9,2.2,32.7,37.1
P003,D007A,2021,83.4,10.2,73.2,93.7
P003,D007B,2021,22.4,2.5,19.9,24.9
P003,D008A,2021,41.9,4.9,36.9,46.8
P003,D008B,2021,11.2,1.3,9.9,12.5
P004,D001A,2021,137.4,12,125.4,149.4
P004,D001B,2021,11.3,1,10.3,12.2
P004,D002A,2021,180.5,9.4,171.1,189.9
P004,D002B,2021,28.2,1.3,26.8,29.5
P004,D003A,2021,318.3,15.6,302.6,333.9
P004,D003B,2021,17.1,0.8,16.2,17.9
P004,D004A,2021,117.2,9.8,107.4,127
P004,D004B,2021,31.5,2.2,29.3,33.7
P004,D005A,2021,108.3,8,100.3,116.3
P004,D005B,2021,29,1.9,27,30.9
P004,D006A,2021,58.4,6.3,52.1,64.7
P004,D006B,2021,15.7,1.7,14,17.3
P004,D007A,2021,22,4.1,17.9,26.1
P004,D007B,2021,5.9,1.1,4.9,7
P004,D008A,2021,12.4,2.6,9.8,15
P004,D008B,2021,3.3,0.7,2.6,4
