QuintCode,HdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q008,H007E,46585,4.7,44401,48769, 
Q001,H007F,30.6,24.6,23.1,38.1, 
Q002,H007F,24.2,20.5,19.2,29.1, 
Q003,H007F,24.5,25.1,18.4,30.7, 
Q004,H007F,23.5,25.9,17.4,29.6, 
Q005,H007F,20.4,21.1,16.1,24.8, 
Q006,H007F,123.2, , , ,NA
Q007,H007F,42283,10.3,37912,46653, 
Q008,H007F,46760,7.1,43446,50073, 
Q001,H007G,56.6,13.8,48.8,64.5, 
Q002,H007G,64.1,11.9,56.4,71.7, 
Q003,H007G,57.3,14,49.3,65.4, 
Q004,H007G,44.7,17.7,36.8,52.6, 
Q005,H007G,25.6,26.4,18.8,32.4, 
Q006,H007G,248.4, , , ,NA
Q007,H007G,39302,4.8,37403,41200, 
Q008,H007G,42778,4.8,40717,44839, 
Q001,H007H,73.6,13.8,63.5,83.7, 
Q002,H007H,82,14.6,70,94, 
Q003,H007H,98.9,12.6,86.5,111.4, 
Q004,H007H,114.4,10,102.9,125.9, 
Q005,H007H,165,9.4,149.5,180.5, 
Q006,H007H,533.9, , , ,NA
Q007,H007H,51675,4.9,49145,54206, 
Q008,H007H,60631,4.2,58063,63199, 
Q001,H007I,39.3,22,30.6,47.9, 
Q002,H007I,41.9,17.4,34.6,49.2, 
Q003,H007I,49.3,20.5,39.2,59.4, 
Q004,H007I,32.7,19.4,26.4,39, 
Q005,H007I,28.3,26.2,20.9,35.8, 
Q006,H007I,191.5, , , ,NA
Q007,H007I,42454,6.2,39813,45094, 
Q008,H007I,46091,7.1,42811,49370, 
Q001,H007J,125.1,11.1,111.2,138.9, 
Q002,H007J,131,12.5,114.6,147.4, 
Q003,H007J,129,8.5,118,140, 
Q004,H007J,150.2,15.9,126.4,174.1, 
Q005,H007J,97.3,16.6,81.2,113.4, 
Q006,H007J,632.6, , , ,NA
Q007,H007J,44174,4.9,42004,46344, 
Q008,H007J,47809,3.4,46161,49457, 
Q001,H007K,65.2,19.7,52.4,78, 
Q002,H007K,52,22.9,40.1,64, 
Q003,H007K,42.8,21.5,33.6,52, 
Q004,H007K,40.3,24.4,30.4,50.1, 
Q005,H007K,36.9,20.7,29.3,44.5, 
Q006,H007K,237.2, , , ,NA
Q007,H007K,38570,9.4,34926,42215, 
Q008,H007K,44065,7.5,40748,47382, 
Q001,H007L,21.6,21.7,16.9,26.3, 
Q002,H007L,22.3,27.1,16.2,28.3, 
Q003,H007L,19.6,30.3,13.7,25.6, 
Q004,H007L,21.3,25.8,15.8,26.8, 
Q005,H007L,15.7,28.5,11.2,20.2, 
Q006,H007L,100.6, , , ,NA
Q007,H007L,40292,7.3,37353,43231, 
Q008,H007L,46003,6.3,43086,48920, 
Q001,H008A,363.7,7.1,338,389.4, 
Q002,H008A,344.8,7.7,318.4,371.2, 
Q003,H008A,284.4,7.9,262,306.8, 
Q004,H008A,246.4,9.1,223.9,268.9, 
Q005,H008A,197.5,10,177.8,217.3, 
Q006,H008A,1436.8,3.2,1391.1,1482.5, 
Q007,H008A,38696,3.4,37371,40020, 
Q008,H008A,44224,2.2,43239,45208, 
Q001,H008B,635.5,4.5,606.6,664.4, 
Q002,H008B,667.1,5.1,633,701.3, 
Q003,H008B,710.7,5,674.9,746.6, 
Q004,H008B,756.8,5.3,717,796.7, 
Q005,H008B,806.9,4.3,772.4,841.4, 
Q006,H008B,3577.1,1.3,3531.3,3622.8, 
Q007,H008B,46123,1.4,45470,46776, 
Q008,H008B,52867,1.3,52205,53529, 
