QuintCode,PdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q001,P008A,177.7,6.8,165.6,189.7, 
Q002,P008A,142.6,7.5,131.9,153.2, 
Q003,P008A,105.5,8.3,96.7,114.3, 
Q004,P008A,90.8,10.1,81.6,99.9, 
Q005,P008A,74.1,10.3,66.5,81.7, 
Q006,P008A,590.6,3.3,571.2,609.9, 
Q007,P008A,35801,2.8,34797,36806, 
Q008,P008A,42239,2.1,41349,43129, 
Q001,P008B,796.1,3.9,765.1,827, 
Q002,P008B,836.9,3.8,805,868.8, 
Q003,P008B,860.1,4.6,820.6,899.6, 
Q004,P008B,890.2,4.7,848.8,931.7, 
Q005,P008B,915.1,3.7,881.4,948.7, 
Q006,P008B,4298.4,0.5,4277.3,4319.4, 
Q007,P008B,45238,1.3,44662,45814, 
Q008,P008B,51683,1.1,51140,52226, 
