MsCode,ExpCode,Year,Estimate,RSE,LowerCIB,UpperCIB,Flag
M002,E009,2016,60.8, , , ,
M002,E010,2016,4.5, , , ,
M002,E011,2016,97, , , ,
M003,E001,2016,31.7, , , ,
M003,E002,2016,0.7, , , ,
M003,E003,2016,32.4, , , ,
M003,E004,2016,19.5, , , ,
M003,E005,2016,29.5, , , ,
M003,E006,2016,0.2, , , ,
M003,E007,2016,49.1, , , ,
M003,E008,2016,11.9, , , ,
M003,E009,2016,6, , , ,
M003,E010,2016,0.6, , , ,
M003,E011,2016,100, , , ,
M004,E001,2016,-5.3,9,-14.3,3.7,
M004,E002,2016,40.4,39,1.5,79.4,
M004,E003,2016,-4.7,9.1,-13.7,4.4,
M004,E004,2016,34.4,17.9,16.5,52.4,
M004,E005,2016,7.9,13.1,-5.2,20.9,
M004,E006,2016,328.8,345.5,-16.7,674.3,
M004,E007,2016,17.4,12.7,4.6,30.1,
M004,E008,2016,12.4,5.7,6.8,18.1,
M004,E009,2016,9.5,7.5,2,17,
M004,E010,2016,3.1,59.1,-55.9,62.2,
M004,E011,2016,8.1,5.8,2.4,13.9,
M001,E001,2017,117.2,7.1,108.8,125.5,
M001,E002,2017,2.1,21.4,1.6,2.5,
M001,E003,2017,119.2,7,110.8,127.6,
M001,E004,2017,59.1,9.6,53.4,64.7,
M001,E005,2017,74.2,10.4,66.4,81.9,
M001,E006,2017,0.4,45.8,0.2,0.5,
M001,E007,2017,133.6,9,121.6,145.6,
M001,E008,2017,37.7,4,36.2,39.2,
M001,E009,2017,17.7,5.9,16.7,18.7,
M001,E010,2017,2,47.8,1.1,3,
M001,E011,2017,310.2,3.8,298.5,321.9,
M002,E001,2017,33.6, , , ,
M002,E002,2017,9.7, , , ,
M002,E003,2017,35.2, , , ,
M002,E004,2017,27.9, , , ,
M002,E005,2017,30.4, , , ,
M002,E006,2017,4.4, , , ,
M002,E007,2017,30.6, , , ,
M002,E008,2017,70, , , ,
M002,E009,2017,57.8, , , ,
M002,E010,2017,3.2, , , ,
M002,E011,2017,96.8, , , ,
M003,E001,2017,37.8, , , ,
M003,E002,2017,0.7, , , ,
M003,E003,2017,38.4, , , ,
M003,E004,2017,19, , , ,
M003,E005,2017,23.9, , , ,
M003,E006,2017,0.1, , , ,
M003,E007,2017,43.1, , , ,
M003,E008,2017,12.1, , , ,
M003,E009,2017,5.7, , , ,
M003,E010,2017,0.7, , , ,
M003,E011,2017,100, , , ,
M004,E001,2017,19.4,11.5,7.9,31,
M004,E002,2017,-6.6,23.4,-30,16.8,
M004,E003,2017,18.9,11.4,7.5,30.3,
M004,E004,2017,-1.9,13.9,-15.8,12,
M004,E005,2017,-18.7,10.5,-29.2,-8.1,
M004,E006,2017,-33.4,44.8,-78.2,11.4,
M004,E007,2017,-12.1,10.4,-22.5,-1.7,
M004,E008,2017,2.2,5,-2.9,7.2,
M004,E009,2017,-5.2,7.5,-12.7,2.2,
M004,E010,2017,17.9,58.9,-40.9,76.8,
M004,E011,2017,0.2,5.3,-5,5.5,
M001,E001,2018,110.8,6.7,103.4,118.2,
M001,E002,2018,2.2,19.2,1.8,2.6,
M001,E003,2018,113,6.7,105.5,120.5,
M001,E004,2018,64.1,8.3,58.8,69.4,
M001,E005,2018,88.5,9.1,80.5,96.5,
M001,E006,2018,0.3,28.6,0.2,0.4,
M001,E007,2018,152.9,7.8,140.9,164.8,
M001,E008,2018,40.1,3.8,38.5,41.6,
M001,E009,2018,20.3,4,19.5,21.1,
M001,E010,2018,2.2,43.6,1.2,3.1,
M001,E011,2018,328.4,3.9,315.6,341.2,
M002,E001,2018,31.7, , , ,
M002,E002,2018,9.4, , , ,
M002,E003,2018,33.2, , , ,
M002,E004,2018,31, , , ,
M002,E005,2018,33.9, , , ,
M002,E006,2018,4.7, , , ,
M002,E007,2018,34.1, , , ,
M002,E008,2018,72.1, , , ,
M002,E009,2018,59.6, , , ,
M002,E010,2018,3.8, , , ,
M002,E011,2018,97, , , ,
M003,E001,2018,33.7, , , ,
M003,E002,2018,0.7, , , ,
M003,E003,2018,34.4, , , ,
M003,E004,2018,19.5, , , ,
M003,E005,2018,26.9, , , ,
M003,E006,2018,0.1, , , ,
M003,E007,2018,46.5, , , ,
M003,E008,2018,12.2, , , ,
M003,E009,2018,6.2, , , ,
M003,E010,2018,0.7, , , ,
M003,E011,2018,100, , , ,
M004,E001,2018,-5.4,9.1,-14.5,3.7,
M004,E002,2018,5.7,30.9,-25.2,36.6,
M004,E003,2018,-5.2,9.1,-14.3,3.8,
M004,E004,2018,8.5,13.8,-5.3,22.3,
M004,E005,2018,19.3,16.7,2.6,36,
M004,E006,2018,-23.1,43.6,-66.6,20.5,
M004,E007,2018,14.4,14,0.4,28.4,
M004,E008,2018,6.4,5.6,0.8,12,
M004,E009,2018,14.7,8.7,6,23.4,
M004,E010,2018,6.7,74.4,-67.7,81.1,
M004,E011,2018,5.9,6,-0.1,11.8,
M001,E001,2019,122.6,3.3,118.5,126.7,
M001,E002,2019,2.7,9.6,2.4,3,
M001,E003,2019,125.3,3.4,121.1,129.5,
M001,E004,2019,63.6,3.1,61.6,65.6,
M001,E005,2019,80.8,4.8,76.9,84.7,
M001,E006,2019,0.4,18.8,0.3,0.5,
M001,E007,2019,144.8,3.5,139.8,149.9,
M001,E008,2019,37.8,1.9,37.1,38.5,
M001,E009,2019,20.7,2.8,20.2,21.3,
M001,E010,2019,3.6,16.5,3,4.2,
M001,E011,2019,332.3,1.7,326.5,338,
M002,E001,2019,33.1, , , ,
M002,E002,2019,10.5, , , ,
M002,E003,2019,35.1, , , ,
M002,E004,2019,28.9, , , ,
M002,E005,2019,31.1, , , ,
M002,E006,2019,4.8, , , ,
M002,E007,2019,31.5, , , ,
M002,E008,2019,68.6, , , ,
M002,E009,2019,56.5, , , ,
M002,E010,2019,5.9, , , ,
M002,E011,2019,96.8, , , ,
M003,E001,2019,36.9, , , ,
M003,E002,2019,0.8, , , ,
M003,E003,2019,37.7, , , ,
M003,E004,2019,19.1, , , ,
M003,E005,2019,24.3, , , ,
M003,E006,2019,0.1, , , ,
M003,E007,2019,43.6, , , ,
M003,E008,2019,11.4, , , ,
M003,E009,2019,6.2, , , ,
M003,E010,2019,1.1, , , ,
M003,E011,2019,100, , , ,
M004,E001,2019,10.6,8.1,2.5,18.7,
M004,E002,2019,24.3,26.2,-1.8,50.5,
M004,E003,2019,10.9,8,2.9,18.9,
M004,E004,2019,-0.8,9,-9.8,8.2,
M004,E005,2019,-8.6,9.2,-17.8,0.6,
M004,E006,2019,49.9,49.6,0.3,99.5,
M004,E007,2019,-5.2,8.1,-13.3,2.8,
M004,E008,2019,-5.6,3.8,-9.3,-1.8,
M004,E009,2019,2.1,4.7,-2.6,6.8,
M004,E010,2019,65.4,83.2,-17.8,148.6,
M004,E011,2019,1.2,4.3,-3.1,5.4,
M001,E001,2020,128.8,3.4,124.4,133.2,
M001,E002,2020,2.8,12.9,2.5,3.2,
M001,E003,2020,131.7,3.4,127.2,136.2,
M001,E004,2020,68,4,65.3,70.7,
M001,E005,2020,75.3,4.7,71.8,78.9,
M001,E006,2020,0.3,21,0.3,0.4,
M001,E007,2020,143.7,4,138,149.4,
M001,E008,2020,40.8,2.3,39.8,41.7,
M001,E009,2020,20.7,2.5,20.2,21.2,
M001,E010,2020,3.2,27.6,2.3,4.1,
M001,E011,2020,340,1.7,334.2,345.8,
M002,E001,2020,33.8, , , ,
M002,E002,2020,10.2, , , ,
M002,E003,2020,35.4, , , ,
M002,E004,2020,29.2, , , ,
M002,E005,2020,31.6, , , ,
M002,E006,2020,4.1, , , ,
M002,E007,2020,31.9, , , ,
M002,E008,2020,70.2, , , ,
M002,E009,2020,55.1, , , ,
M002,E010,2020,4.5, , , ,
M002,E011,2020,97.2, , , ,
M003,E001,2020,37.9, , , ,
M003,E002,2020,0.8, , , ,
M003,E003,2020,38.7, , , ,
M003,E004,2020,20, , , ,
M003,E005,2020,22.2, , , ,
M003,E006,2020,0.1, , , ,
M003,E007,2020,42.3, , , ,
M003,E008,2020,12, , , ,
M003,E009,2020,6.1, , , ,
M003,E010,2020,0.9, , , ,
M003,E011,2020,100, , , ,
M004,E001,2020,5.1,4.2,0.9,9.3,
M004,E002,2020,5,16.9,-11.9,21.9,
M004,E003,2020,5.1,4.2,0.9,9.3,
M004,E004,2020,7,5.4,1.6,12.3,
M004,E005,2020,-6.8,5.5,-12.4,-1.3,
M004,E006,2020,-16.5,23.6,-40.1,7.1,
M004,E007,2020,-0.8,4.7,-5.5,3.9,
M004,E008,2020,7.7,2.6,5.1,10.3,
M004,E009,2020,-0.1,3.4,-3.5,3.2,
M004,E010,2020,-9.9,20,-29.8,10.1,
M004,E011,2020,2.3,1.9,0.5,4.2,
M001,E001,2021,129.6,3.2,125.4,133.8,
M001,E002,2021,2.4,9.2,2.2,2.6,
M001,E003,2021,132,3.3,127.7,136.3,
M001,E004,2021,81.8,3.8,78.7,85,
M001,E005,2021,65.4,4.9,62.2,68.6,
M001,E006,2021,0.4,24.1,0.3,0.5,
M001,E007,2021,147.6,3.9,141.9,153.4,
M001,E008,2021,43.2,2.2,42.2,44.1,
M001,E009,2021,22.2,2.6,21.6,22.8,
M001,E010,2021,3.6,23.5,2.7,4.4,
M001,E011,2021,348.6,2,341.5,355.6,
M002,E001,2021,32.2, , , ,
M002,E002,2021,9.6, , , ,
M002,E003,2021,33.6, , , ,
M002,E004,2021,29.9, , , ,
M002,E005,2021,32.2, , , ,
M002,E006,2021,3.9, , , ,
M002,E007,2021,32.4, , , ,
M002,E008,2021,70.6, , , ,
M002,E009,2021,55.9, , , ,
